;photo_id;owner;gender;occupation;title;description;faves;lat;lon;u_city;u_country;taken;weather;season;daytime;base_url;url
0;17271526139;130418712@N05;1.0;;Rio Trejo;"Son numerosos los rios y arroyos que discurren por Setenil de las Bodegas, tanto por el municipio, como por el nucleo urbano.
Dos de esos rios o arroyos, el Rio Setenil o Rio de la Peña y el Arroyo del Burgo confluyen y se unen para formar el Rio Trejo, el cual, kilómetros mas adelante se une con el Arroyo del Zumacal para formar el Rio Guadalporcun, pero ya en tierras de Torre Alhaquime.
La imagen corresponde practicamente al nacimiento del Rio Trejo, a escasos metros del mismo, y bajo un puente por donde discurre una carretera.
La unica pega es la calidad del agua, sucia y mal oliente, lo cual no quita la belleza de ese bonito pueblo";701.0;36,861544;-5,177747;;;2015-04-26 17:11:11;;1.0;2.0;https://www.flickr.com/photos/130418712@N05/17271526139;https://live.staticflickr.com/65535/17271526139_18d659f146_b.jpg
1;17776887679;55101137@N02;1.0;;2015-05-13-022FD PH-XRD;"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Boeing 737-7K2 - PH-XRD - (30659)</b>

<u><b>Owner/Operator</b></u> . . <b>Transavia</b>

<u><b>Location &amp; Date</b></u> . . <b>Eindhoven (EIN/EHEH) Welschap  Netherlands - 13th May 2015</b>";1.0;51,463766;5,392935;Bodmin;United Kingdom;2015-05-13 00:00:22;9.0;1.0;3.0;https://www.flickr.com/photos/55101137@N02/17776887679;https://live.staticflickr.com/5335/17776887679_94d9cca75d_b.jpg
2;17898331633;55101137@N02;1.0;;2015-05-17-022FD OO-GWA;"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>SNCAN Stampe SV-4C - OO-GWA - (478)</b>

<u><b>Owner/Operator</b></u> . . <b>Private</b>

<u><b>Location &amp; Date</b></u> . . <b>Antwerp (ANR/EBAW) Deurne Belgium - 17th May 2015</b>

<b>V66 (Belgian Air Force)</b>";2.0;51,190492;4,453765;Bodmin;United Kingdom;2015-05-17 00:00:22;9.0;1.0;3.0;https://www.flickr.com/photos/55101137@N02/17898331633;https://live.staticflickr.com/525/17898331633_034941b735_b.jpg
3;17940239919;55101137@N02;1.0;;2015-05-14-020FD D-1553;"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Schleicher K7 - D-1553 - (?)</b>

<u><b>Owner/Operator</b></u> . . <b>PS Aero</b>

<u><b>Location &amp; Date</b></u> . . <b>Baarlo Limburg Netherlands - 14th May 2015</b>";0.0;51,326247;6,085953;Bodmin;United Kingdom;2015-05-14 00:00:20;9.0;1.0;3.0;https://www.flickr.com/photos/55101137@N02/17940239919;https://live.staticflickr.com/8860/17940239919_d772b8415f_b.jpg
4;17963122505;55101137@N02;1.0;;2015-05-13-025FD EI-DLI;"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Boeing 737-8AS - EI-DLI - (33591)</b>

<u><b>Owner/Operator</b></u> . . <b>Ryanair</b>

<u><b>Location &amp; Date</b></u> . . <b>Eindhoven (EIN/EHEH) Welschap  Netherlands - 13th May 2015</b>";2.0;51,463766;5,392935;Bodmin;United Kingdom;2015-05-13 00:00:25;9.0;1.0;3.0;https://www.flickr.com/photos/55101137@N02/17963122505;https://live.staticflickr.com/5457/17963122505_15682c7ed4_b.jpg
5;18331250198;55101137@N02;1.0;;2015-05-17-023FD OO-PAX;"<u><b>Aircraft Type - Registration - (c/n)</b></u> . . <b>Stampe-Vertongen SV-4B - OO-PAX - (1147)</b>

<u><b>Owner/Operator</b></u> . . <b>Private</b>

<u><b>Location &amp; Date</b></u> . . <b>Antwerp (ANR/EBAW) Deurne Belgium - 17th May 2015</b>

<b>5 Belgian Air Force</b>";2.0;51,190492;4,453765;Bodmin;United Kingdom;2015-05-17 00:00:23;9.0;1.0;3.0;https://www.flickr.com/photos/55101137@N02/18331250198;https://live.staticflickr.com/338/18331250198_f3c88de27c_b.jpg
6;20052582226;69258414@N08;3.0;;2x218, Hattstedt, 22.07.2015;Ein Intercity nordwärts in Hattstedt. Bespannt mit einem 218er Pärchen gebildet aus 218 319 und 218 344 unterwegs nach Westerland auf Sylt.;47.0;54,529777;9,029133;;;2015-07-22 15:31:00;9.0;2.0;1.0;https://www.flickr.com/photos/69258414@N08/20052582226;https://live.staticflickr.com/347/20052582226_75928a17ed_b.jpg
7;20383414776;131084835@N03;1.0;;Skyffel;Tour Eiffel in March on a cloudy day in Paris.;72.0;48,861686;2,293117;;;2015-03-21 15:17:56;7.0;1.0;1.0;https://www.flickr.com/photos/131084835@N03/20383414776;https://live.staticflickr.com/482/20383414776_9eb28faf5c_b.jpg
8;25740797653;133755874@N03;2.0;;"Osterglocken in weiß ;)";"Braunschweig

OLYMPUS art filter &quot;Partial Color&quot;";11.0;52,213888;10,523333;Braunschweig;Deutschland;2016-04-03 14:19:35;1.0;1.0;1.0;https://www.flickr.com/photos/133755874@N03/25740797653;https://live.staticflickr.com/1461/25740797653_b1010cda2f_b.jpg
9;25843872864;32675973@N00;1.0;;;;;;;;;;;;;https://www.flickr.com/photos/32675973@N00/25843872864;
10;26503578166;130418712@N05;1.0;;Atardeciendo en Almeria;"Atardecer sobre el Golfo de Almería, captado desde el Espigón de los Juegos, un un golfo que se situa en la costa de Almería y que se abre al mar de Alborán. 
Está delimitado de oeste a este por la punta del Moro y el cabo de Gata, donde destacan sus prominentes formaciones rocosas pertenecientes a las cordilleras Béticas, que dan lugar a acantilados que se alternan con zonas de costa baja. 
Parte de su medio natural está integrado en el Parque Natural del Cabo de Gata-Níjar.";688.0;36,821091;-2,443153;;;2016-04-18 20:15:15;9.0;1.0;2.0;https://www.flickr.com/photos/130418712@N05/26503578166;https://live.staticflickr.com/65535/26503578166_971a436384_b.jpg
11;27624094755;130418712@N05;1.0;;Laguna Colgada;"Viata de la Laguna de Colgada, una de las que componen las Lagunas de Ruidera, vista desde el Hotel Entrelagos.
Esta laguna es la mas grande de todas y está comunicada con la Laguna del Rey por el río Las Paranzas, justo a la altura del citado Hotel, desde el que se pueden divisar ambas lagunas";616.0;38,964631;-2,884812;;;2016-06-11 20:13:46;1.0;1.0;2.0;https://www.flickr.com/photos/130418712@N05/27624094755;https://live.staticflickr.com/7120/27624094755_2a3ef87911_b.jpg
12;28853122201;69258414@N08;3.0;;InterCity auf Usedom;"Auf Regen folgt Sonne.
Glücklicherweise ließ sich die Sonne blicken, als 218 369 mit dem einzigen auf der Insel Usedom verkehrenden IC zwischen Koserow und Kölpinsee fotografisch verewigt werden konnte (aufgenommen am 06.August 2016)";49.0;54,040938;14,010755;;;2016-08-06 17:39:01;9.0;2.0;2.0;https://www.flickr.com/photos/69258414@N08/28853122201;https://live.staticflickr.com/8838/28853122201_fc119a1c72_b.jpg
13;29263898094;146106459@N03;1.0;Informaticien;_DSC2493_DxO A travers;"Monochrome I like B&amp;W";5.0;48,836108;2,381694;Paris;France;2016-08-10 14:41:21;9.0;2.0;1.0;https://www.flickr.com/photos/146106459@N03/29263898094;
14;29499158291;130418712@N05;1.0;;Lago del Espejo;"El Lago del Espejo es uno de los parajes que se encuentra en el Parque Natural del Monasterio de Piedra, en la localidad zaragozana de Nuevalos, y que se trata de una laguna de aguas cristalinas.
Tanto el lago como las distintas cascadas y grutas que se encuentran en dicho parque son consecuencia del paso por el mismo del Rio Piedra, afluente del Jalón, que a su vez es afluente del Rio Ebro.";778.0;41,191395;-1,784323;;;2016-09-04 13:47:19;1.0;2.0;1.0;https://www.flickr.com/photos/130418712@N05/29499158291;https://live.staticflickr.com/65535/29499158291_d7ca83c036_b.jpg
15;29742232315;146106459@N03;1.0;Informaticien;_DSC7260_DxO_DxO FLIRT;Sieste au Parc de Bercy Paris12;14.0;48,836108;2,381694;Paris;France;2015-05-26 13:41:40;9.0;1.0;1.0;https://www.flickr.com/photos/146106459@N03/29742232315;
16;29777481322;146106459@N03;1.0;Informaticien;_DSC2537_DxO Ambiance Bar;"Monochrome I like B&amp;W";27.0;48,836108;2,381694;Paris;France;2016-08-23 05:41:20;1.0;2.0;3.0;https://www.flickr.com/photos/146106459@N03/29777481322;
17;29807819351;146106459@N03;1.0;Informaticien;_DSC2544_DxO Ambiance;"Monochrome I like B&amp;W";3.0;48,836108;2,381694;Paris;France;2016-08-25 14:05:47;9.0;2.0;1.0;https://www.flickr.com/photos/146106459@N03/29807819351;
18;29884547414;133755874@N03;2.0;;two cats;"Braunschweig

OLYMPUS art filter &quot;Partial Color&quot;";19.0;52,213888;10,523333;Braunschweig;Deutschland;2016-04-01 12:56:38;1.0;1.0;1.0;https://www.flickr.com/photos/133755874@N03/29884547414;https://live.staticflickr.com/5616/29884547414_5ed2d54a17_b.jpg
19;31536395197;8704943@N07;1.0;Engineer;Dwór Osteinów;"Dwór Osteinów (Osteiner Hof), Schillerpl., Moguncja, 16 listopada 2018 r.
Barokową rezydencję wybudował w latach 1747-1751 Johann Valentin Thomann dla hrabiowskiego rodu von Osteinów. Johann Friedrich Karl von Ostein był w tym czasie Elektorem Moguncji. Wkrótce budynek został zajęty przez okupujących Moguncję Francuzów na potrzeby władz departamentu. Był też wykorzystywany przez dowództwo pruskiego wojska. Po zniszczeniu w czasie II wojny światowej został odbudowany w latach 1947-48. Do 2014 r. był zajmowany przez Bundeswehrę.
**
Ostein Court (Osteiner Hof), Schillerpl., Mainz, November 16, 2018
The Baroque residence was built in 1747-1751 by Johann Valentin Thomann for the Graf von Ostein family. Johann Friedrich Karl von Ostein was the Elector of Mainz at that time. Soon it was taken over by French occupying Mainz for the department authorities seat. It was also used as Prussian military headquarters. After destruction during the World War II it was reconstructed in 1947-1948. Until 2014 the Ostein Court was in use by the Bundeswehr.";3.0;49,997903;8,267671;Gdańsk;Poland;2018-11-16 15:08:38;10.0;3.0;1.0;https://www.flickr.com/photos/8704943@N07/31536395197;https://live.staticflickr.com/7923/31536395197_9fd378c22f_b.jpg
20;31536395467;8704943@N07;1.0;Engineer;Witraże;"<a href='https://www.flickr.com/photos/iks_berto/31536395917/'>Witraże</a> w <a href='https://www.flickr.com/photos/iks_berto/45563079585/'>kościele św. Szczepana</a> (St. Stephankirche), Moguncja, 16 listopada 2018 r.
**
<a href='https://www.flickr.com/photos/iks_berto/31536395917/'>Stained glass windows</a> in the <a href='https://www.flickr.com/photos/iks_berto/45563079585/'>church of St. Stephen</a> (St. Stephankirche), Mainz, November 16, 2018";2.0;49,995724;8,268733;Gdańsk;Poland;2018-11-16 15:00:44;10.0;3.0;1.0;https://www.flickr.com/photos/8704943@N07/31536395467;https://live.staticflickr.com/7819/31536395467_f4e988df21_b.jpg
21;31536395917;8704943@N07;1.0;Engineer;Witraże;"<a href='https://www.flickr.com/photos/iks_berto/45563079585/'>Witraże Marca Chagalla</a> w prezbiterium <a href='https://www.flickr.com/photos/iks_berto/32572871118/'>kościoła św. Szczepana</a> (St. Stephankirche), Moguncja, 16 listopada 2018 r.
**
<a href='https://www.flickr.com/photos/iks_berto/45563079585/'>Stained glass windows by Marc Chagall</a> in the choir of the <a href='https://www.flickr.com/photos/iks_berto/32572871118/'>church of St. Stephen</a> (St. Stephankirche), Mainz, November 16, 2018";1.0;49,995724;8,268733;Gdańsk;Poland;2018-11-16 14:57:06;10.0;3.0;1.0;https://www.flickr.com/photos/8704943@N07/31536395917;https://live.staticflickr.com/4906/31536395917_e3d77e06f3_b.jpg
22;31958928478;25722132@N05;3.0;;...;"________________________________________________
<b>© ángel mateo</b>
Todos los derechos reservados / All rights reserved.";24.0;36,71761;-4,417716;;;2018-10-11 16:09:00;9.0;3.0;1.0;https://www.flickr.com/photos/25722132@N05/31958928478;https://live.staticflickr.com/4820/31958928478_a3f8eed28a_b.jpg
